Company_Brand,Funding_Year,HeadQuarter,Sector,Amount($),Stage,Funding,Category
TheCollegeFever,2018,Bangalore,"brand marketing, event promotion, marketing, sponsorship, ticketing",3571.43,Seed,Seed Stage,Marketing
Happy Cow Dairy,2018,Mumbai,"agriculture, farming",571428.57,Seed,Seed Stage,Farming
MyLoanCare,2018,Gurgaon,"credit, financial services, lending, marketplace",928571.43,Series A,Series_Stage,Finance
PayMe India,2018,Noida,"financial services, fintech",28571.43,Angel,Later Stage,Technology
Eunimart,2018,Hyderabad,"e-commerce platforms, retail, saas",0.0,Seed,Seed Stage,Saas
Hasura,2018,Bengaluru,"cloud infrastructure, paas, saas",22857.14,Seed,Seed Stage,Saas
Tripshelf,2018,Kalkaji,"internet, leisure, marketplace",228571.43,Seed,Seed Stage,Technology
Hyperdata.IO,2018,Hyderabad,market research,714285.71,Angel,Later Stage,Research
Freightwalla,2018,Mumbai,"information services, information technology",0.0,Seed,Seed Stage,Technology
Microchip Payments,2018,Bangalore,mobile payments,0.0,Seed,Seed Stage,Finance
BizCrum Infotech Pvt. Ltd.,2018,Delhi,"b2b, shoes",0.0,Seed,Seed Stage,B2b
Emojifi,2018,Bengaluru,internet,0.0,Seed,Seed Stage,Technology
Flock,2018,India,"apps, collaboration, developer platform, enterprise software, messaging, productivity tools, video chat",0.0,Seed,Seed Stage,Technology
Freshboxx,2018,Hubli,food delivery,0.0,Seed,Seed Stage,Restaurant
Wide Mobility Mechatronics,2018,Bangalore,industrial automation,0.0,Seed,Seed Stage,Transportation
Pitstop,2018,Bengaluru,"automotive, search engine, service industry",1428571.43,Seed,Seed Stage,Transportation
Mihuru,2018,Mumbai,"finance, internet, travel",2142.86,Seed,Seed Stage,Technology
Fyle,2018,Bengaluru,"accounting, business information systems, business travel, finance, saas",15714.29,Seed,Seed Stage,Finance
AppWharf,2018,New Delhi,"artificial intelligence, product search, saas, service industry, software",0.0,Seed,Seed Stage,Saas
Antariksh Waste Ventures Pvt ltd,2018,Chennai,"internet of things, waste management",7142.86,Seed,Seed Stage,Technology
Cogoport,2018,Mumbai,"air transportation, freight service, logistics, marine transportation",85714.29,Series A,Series_Stage,Transportation
PaisaDukan,2018,Mumbai,financial services,9285.71,Seed,Seed Stage,Finance
Sleepy Owl Coffee,2018,New Delhi,food and beverage,500000.0,Seed,Seed Stage,Restaurant
BlueJack,2018,Delhi,autonomous vehicles,914285.71,Seed,Seed Stage,Transportation
PregBuddy,2018,Bengaluru,"enterprise software, health care, hospital, parenting, personal health, saas",0.0,Seed,Seed Stage,Transportation
AgNext Technologies,2018,Mohali,"agriculture, analytics, big data, farming",0.0,Series A,Series_Stage,Technology
Pando,2018,Chennai,"logistics, supply chain management",28571.43,Seed,Seed Stage,Transportation
Mintifi,2018,Mumbai,"financial services, lending",28571.43,Seed,Seed Stage,Finance
Carcrew,2018,Mumbai,"automotive, marketplace, online portals",28571.43,Seed,Seed Stage,Transportation
NicheAI,2018,Hyderabad,artificial intelligence,0.0,Angel,Later Stage,Ai
Chariot Tech,2018,New Delhi,"internet of things, telecommunications",285714.29,Seed,Seed Stage,Technology
Ideal Insurance Brokers/ 121Policy.com,2018,Kolkata,insurance,14285.71,Seed,Seed Stage,Others
Loanzen,2018,Bangalore,financial services,0.0,Seed,Seed Stage,Finance
Mojro Technologies,2018,Bengaluru,"information technology, logistics, supply chain management",9285.71,Seed,Seed Stage,Technology
Elemential,2018,Mumbai,"blockchain, developer tools, enterprise software",14285.71,Seed,Seed Stage,Saas
Loadshare,2018,Bengaluru,"industrial automation, logistics, supply chain management",71428.57,Series A,Series_Stage,Transportation
Yumlane,2018,Mumbai,"food and beverage, food delivery, snack food",57142.86,Series A,Series_Stage,Restaurant
Kriger Campus,2018,New Delhi,education,428571.43,Seed,Seed Stage,Education
Pipa+Bella,2018,Mumbai,"e-commerce, fashion, jewelry, retail",14285.71,Series A,Series_Stage,Beauty
Kaleidofin,2018,Chennai,financial services,40000.0,Seed,Seed Stage,Finance
Chakr Innovation,2018,New Delhi,renewable energy,0.0,Seed,Seed Stage,Others
IndigoLearn,2018,Hyderabad,"e-learning, education",2142.86,Seed,Seed Stage,Education
UClean,2018,India,"clean energy, cleantech, laundry and dry-cleaning",571428.57,Seed,Seed Stage,Technology
Coutloot,2018,Mumbai,"e-commerce, fashion, mobile",14285.71,Seed,Seed Stage,Beauty
Letstrack,2018,New Delhi,"apps, messaging, navigation, public safety",24285.71,Seed,Seed Stage,Technology
Pooltoo,2018,New Delhi,transportation,0.0,Seed,Seed Stage,Transportation
Finzy,2018,Bangalore,"financial services, lending",18571.43,Seed,Seed Stage,Finance
Fitternity,2018,Mumbai,"fitness, health care, wellness",28571.43,Seed,Seed Stage,Transportation
Keito,2018,Pune,"artificial intelligence, machine learning, saas, virtual assistant",0.0,Seed,Seed Stage,Saas
Tolet for Students,2018,Jodhpur,hospitality,71428.57,Seed,Seed Stage,Others
Chai Kings,2018,Chennai,"food and beverage, tea",285714.29,Seed,Seed Stage,Restaurant
Dainik Jagran,2018,Kanpur,"media and entertainment, news, outdoors",571428.57,Seed,Seed Stage,Social
Playtoome,2018,Bengaluru,"broadcasting, media and entertainment, music, music streaming, video, video streaming",285714.29,Seed,Seed Stage,Technology
ONGO Framework,2018,Hyderabad,"b2b, information services, information technology",14285.71,Angel,Later Stage,Technology
